queue_order,diversity,job_duration_s,slow_reconfig_s,fast_reconfig_s,window_size,static_makespan_s,per_job_makespan_s,stratocs_makespan_s,oracle_makespan_s,static_speedup,per_job_speedup,oracle_loss_pct,reconfig_fraction,slow_reconfig_reduction_pct,retained_improvement_pct,verdict
clustered,low,600,5,0.01,10,12000.0,11750.859749999996,11679.9015,11650.659749999995,1.0274059246133198,1.0060752438708491,0.25098793224997973,0.0008732950359213218,90.0,94.54922528966996,conditional
random_avg,low,600,5,0.01,10,12000.0,11750.85975,11679.9015,11650.659749999999,1.0274059246133198,1.0060752438708493,0.25098793224993976,0.0008732950359213218,90.0,94.54922528967097,conditional
clustered,low,600,5,0.01,20,12000.0,11750.859749999996,11674.901499999996,11650.659749999995,1.027845930862886,1.0065061148481638,0.2080719076874793,0.00044539990337391725,95.0,94.54922528967101,conditional
random_avg,low,600,5,0.01,20,12000.0,11750.85975,11674.9015,11650.659749999999,1.0278459308628856,1.0065061148481638,0.2080719076874793,0.00044539990337391714,95.0,94.54922528967076,conditional
clustered,low,600,30,0,2,12000.0,12250.659749999995,11957.983499999997,11650.659749999995,1.0035136777032685,1.0244753850011583,2.6378227207261906,0.025087841942581714,50.0,97.90354818833464,drop
random_avg,low,600,30,0,2,12000.0,12250.659749999999,11960.434199999998,11650.659749999999,1.0033080856324739,1.0242654984589417,2.658857581005236,0.025082702140811847,50.0,97.20202581866808,drop
clustered,low,600,30,0,5,12000.0,12250.659749999995,11782.7085,11650.659749999995,1.018441557813299,1.0397150833358897,1.1334014796887892,0.01018441557813299,80.0,96.55099863242063,conditional
random_avg,low,600,30,0,5,12000.0,12250.659749999999,11788.297649999999,11650.659749999999,1.0179587205854246,1.0392221604531129,1.1813742994254106,0.010179587205854245,80.0,94.95108279106094,conditional
clustered,low,600,30,0,10,12000.0,12250.659749999995,11729.7015,11650.659749999995,1.0230439367958342,1.0444135982488554,0.6784315368921767,0.005115219683979171,90.0,94.54922528966996,conditional
random_avg,low,600,30,0,10,12000.0,12250.659749999999,11729.7015,11650.659749999999,1.0230439367958342,1.0444135982488556,0.6784315368921545,0.005115219683979171,90.0,94.54922528967097,conditional
clustered,low,600,30,0,20,12000.0,12250.659749999995,11699.701499999996,11650.659749999995,1.0256671933040347,1.0470916501587668,0.42093538951732956,0.0025641679832600866,95.0,94.54922528967101,conditional
random_avg,low,600,30,0,20,12000.0,12250.659749999999,11699.7015,11650.659749999999,1.0256671933040344,1.0470916501587668,0.42093538951732956,0.0025641679832600858,95.0,94.54922528967076,conditional
clustered,low,600,30,0.001,2,12000.0,12250.679749999996,11958.003499999997,11650.659749999995,1.0035119993065735,1.0244753440655874,2.637994384824438,0.02508947250266318,50.0,97.90354818833464,drop
random_avg,low,600,30,0.001,2,12000.0,12250.67975,11960.454199999998,11650.659749999999,1.0033064079233738,1.0242654578826762,2.659029245103488,0.02508433237543088,50.0,97.20202581866808,drop
clustered,low,600,30,0.001,5,12000.0,12250.679749999996,11782.728500000001,11650.659749999995,1.0184398291108887,1.0397150159235184,1.1335731437870367,0.010186095690824072,80.0,96.55099863242063,conditional
random_avg,low,600,30,0.001,5,12000.0,12250.67975,11788.317649999999,11650.659749999999,1.0179569935217032,1.039222093908934,1.181545963523667,0.010181266530206234,80.0,94.95108279106094,conditional
clustered,low,600,30,0.001,10,12000.0,12250.679749999996,11729.7215,11650.659749999995,1.0230421924339808,1.044413522520547,0.6786032009904464,0.0051169160324906265,90.0,94.54922528966996,conditional
random_avg,low,600,30,0.001,10,12000.0,12250.67975,11729.7215,11650.659749999999,1.0230421924339808,1.0444135225205475,0.678603200990402,0.0051169160324906265,90.0,94.54922528967097,conditional
clustered,low,600,30,0.001,20,12000.0,12250.679749999996,11699.721499999996,11650.659749999995,1.0256654399850462,1.0470915696583034,0.421107053615577,0.00256587304236259,95.0,94.54922528967101,conditional
